Time,Lap,SectorName,angular velosity,Distance,Corr Dist,Corr Dist (Unstretched),Corr Lap Dist,Corr Speed,Calc Outing Time,Calc Lap Time,Damper Vel FL,Damper Vel FR,Damper Vel RL,Damper Vel RR,glat,glong,Oversteer,steered angle,is1st,is2nd,is3rd,is4th,is5th,is6th,is2ndWOT,is3rdWOT,isWOT,abs glong,abs glat,abs Steerangle,abs ROTY ,understeer,oversteer,lane deviation,steering reversal rate per lap,steering reversal rate per sector,LAP_BEACON,G_LAT,ROTY,STEERANGLE,SPEED,THROTTLE,BRAKE,GEAR,G_LON,CLUTCH,RPMS,TC,ABS,SUS_TRAVEL_LF,SUS_TRAVEL_RF,SUS_TRAVEL_LR,SUS_TRAVEL_RR,BRAKE_TEMP_LF,BRAKE_TEMP_RF,BRAKE_TEMP_LR,BRAKE_TEMP_RR,TYRE_PRESS_LF,TYRE_PRESS_RF,TYRE_PRESS_LR,TYRE_PRESS_RR,TYRE_TAIR_LF,TYRE_TAIR_RF,TYRE_TAIR_LR,TYRE_TAIR_RR,WHEEL_SPEED_LF,WHEEL_SPEED_RF,WHEEL_SPEED_LR,WHEEL_SPEED_RR,BUMPSTOPUP_RIDE_LF,BUMPSTOPUP_RIDE_RF,BUMPSTOPUP_RIDE_LR,BUMPSTOPUP_RIDE_RR,BUMPSTOPDN_RIDE_LF,BUMPSTOPDN_RIDE_RF,BUMPSTOPDN_RIDE_LR,BUMPSTOPDN_RIDE_RR,BUMPSTOP_FORCE_LF,BUMPSTOP_FORCE_RF,BUMPSTOP_FORCE_LR,BUMPSTOP_FORCE_RR,EN_ET,EN_TL,EN_TD,EN_TB
112.36,Lap 1,Str 0-1 (End),50.0,3637.0,3637.0,3637.0,1.0,184.9,112.36,0.018,15.6,24.9,-7.5,27.8,0.44,0.28,-1.03,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.28,0.44,14.83,6.65,1.03,0.0,0.0,0.0,0.7,0.0,0.43,6.47,15.0,184.9,100.0,0.0,3.0,0.0,0.0,7623.0,0.0,0.0,7.0,14.0,18.0,24.0,279.0,283.0,166.0,166.0,26.0,27.0,26.0,27.0,76.0,84.0,83.0,90.0,51.0,51.0,53.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,0.0,0.0,4.0,2.0,1.0,0.0
112.38,Lap 1,Str 0-1 (End),0.0,3638.0,3638.0,3638.0,2.0,185.1,112.38,0.038,-7.5,12.4,23.0,63.5,0.47,0.29,-1.05,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.29,0.47,15.12,7.01,1.05,0.0,0.0,0.0,0.7,0.0,0.5,7.36,15.0,185.1,100.0,0.0,3.0,0.0,0.0,7634.0,0.0,0.0,7.0,14.0,18.0,24.0,279.0,282.0,166.0,166.0,26.0,27.0,26.0,27.0,76.0,84.0,83.0,90.0,51.0,52.0,53.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,0.0,0.0,-0.0,2.0,1.0,0.0
112.4,Lap 1,Str 0-1 (End),0.0,3639.0,3639.0,3639.0,3.0,185.3,112.4,0.058,-39.6,3.7,56.9,79.6,0.5,0.29,-1.06,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.29,0.5,15.16,7.36,1.06,0.0,0.0,0.0,0.7,0.0,0.5,7.36,15.0,185.3,100.0,0.0,3.0,0.0,0.0,7641.0,0.0,0.0,7.0,14.0,19.0,26.0,279.0,282.0,166.0,166.0,26.0,27.0,26.0,27.0,76.0,84.0,83.0,90.0,51.0,52.0,53.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,4.0,2.0,1.0,0.0
112.42,Lap 1,Str 0-1 (End),0.0,3640.0,3640.0,3640.0,4.0,185.5,112.42,0.078,-58.8,1.9,28.7,37.3,0.5,0.29,-1.05,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.29,0.5,15.18,7.14,1.05,0.0,0.0,0.0,0.7,0.0,0.5,7.36,15.0,185.4,100.0,0.0,3.0,0.0,0.0,7641.0,0.0,0.0,5.0,14.0,20.0,28.0,279.0,282.0,166.0,166.0,26.0,27.0,26.0,27.0,76.0,84.0,83.0,90.0,51.0,52.0,53.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,0.0,0.0,-0.0,2.0,1.0,-0.0
112.44,Lap 1,Str 0-1 (End),0.0,3641.0,3641.0,3641.0,5.0,185.7,112.44,0.098,-51.6,4.7,-4.0,-15.0,0.5,0.29,-1.02,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.29,0.5,15.17,6.91,1.02,0.0,0.0,0.0,0.7,0.0,0.51,6.8,15.0,185.6,100.0,0.0,3.0,0.0,0.0,7642.0,0.0,0.0,4.0,14.0,20.0,28.0,278.0,281.0,166.0,166.0,26.0,27.0,26.0,27.0,76.0,84.0,83.0,90.0,51.0,52.0,53.0,53.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-74.0,0.0,0.0,-5.0,2.0,0.0,-0.0
112.46,Lap 1,Str 0-1 (End),0.0,3642.0,3642.0,3642.0,6.0,185.9,112.46,0.118,-26.1,26.2,-25.8,-48.4,0.54,0.28,-0.98,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.28,0.54,15.11,7.18,0.98,0.0,0.0,0.0,0.7,0.0,0.51,6.8,15.0,185.9,100.0,0.0,3.0,0.0,0.0,7658.0,0.0,0.0,3.0,15.0,20.0,27.0,278.0,281.0,166.0,166.0,26.0,27.0,26.0,27.0,76.0,84.0,83.0,90.0,51.0,52.0,53.0,53.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,-80.0,0.0,0.0,-5.0,2.0,0.0,-0.0
112.48,Lap 1,Str 0-1 (End),0.0,3643.0,3643.0,3643.0,7.0,186.0,112.48,0.138,53.1,97.3,-42.8,-57.0,0.6,0.26,-0.93,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.26,0.6,15.0,7.93,0.93,0.0,0.0,0.0,0.7,0.0,0.66,8.69,15.0,186.1,100.0,0.0,3.0,0.0,0.0,7672.0,0.0,0.0,3.0,15.0,19.0,26.0,277.0,281.0,166.0,166.0,26.0,27.0,26.0,27.0,76.0,84.0,83.0,90.0,51.0,52.0,53.0,53.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-132.0,0.0,0.0,12.0,2.0,0.0,-0.0
112.5,Lap 1,Str 0-1 (End),0.0,3644.0,3644.0,3644.0,8.0,186.2,112.5,0.158,117.5,129.3,-48.5,-38.7,0.66,0.23,-0.88,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.23,0.66,14.66,8.69,0.88,0.0,0.0,0.0,0.7,0.0,0.66,8.69,15.0,186.2,100.0,0.0,3.0,0.0,0.0,7686.0,0.0,0.0,5.0,19.0,18.0,25.0,277.0,281.0,166.0,166.0,26.0,27.0,26.0,27.0,76.0,84.0,83.0,90.0,52.0,52.0,53.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-381.0,0.0,0.0,11.0,2.0,0.0,-0.0
112.52,Lap 1,Str 0-1 (End),-50.0,3645.0,3645.0,3645.0,9.0,186.4,112.52,0.178,60.6,68.0,6.7,37.5,0.68,0.24,-0.83,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24,0.68,13.65,8.57,0.83,0.0,0.0,0.0,0.7,0.0,0.66,8.69,14.0,186.3,100.0,0.0,3.0,0.0,0.0,7698.0,0.0,0.0,8.0,21.0,17.0,24.0,277.0,281.0,166.0,166.0,26.0,27.0,26.0,27.0,76.0,84.0,83.0,90.0,52.0,52.0,53.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-602.0,0.0,0.0,-7.0,2.0,0.0,-0.0
112.54,Lap 1,Str 0-1 (End),-50.0,3646.0,3646.0,3646.0,10.0,186.6,112.54,0.198,-37.8,13.2,148.5,149.2,0.7,0.25,-0.78,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.7,12.16,8.45,0.78,0.0,0.0,0.0,0.7,0.0,0.72,8.39,13.0,186.5,100.0,0.0,3.0,0.0,0.0,7635.0,0.0,0.0,8.0,21.0,18.0,26.0,277.0,280.0,165.0,165.0,26.0,27.0,26.0,27.0,76.0,84.0,83.0,90.0,52.0,52.0,53.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-662.0,0.0,0.0,11.0,2.0,0.0,-0.0
