PID,TrackName,CarName,EventDate,Lap,LapTime,Corr Speed kmh_Min,Corr Speed kmh_Max,Corr Speed kmh_Avg,Corr Speed kmh_Start,Corr Speed kmh_End,Corr Speed kmh_Std Dev,BRAKE _Min,BRAKE _Max,BRAKE _Avg,BRAKE _Start,BRAKE _End,BRAKE _Std Dev,Oversteer _Min,Oversteer _Max,Oversteer _Avg,Oversteer _Start,Oversteer _End,Oversteer _Std Dev,ROTY s_Min,ROTY s_Max,ROTY s_Avg,ROTY s_Start,ROTY s_End,ROTY s_Std Dev,THROTTLE _Min,THROTTLE _Max,THROTTLE _Avg,THROTTLE _Start,THROTTLE _End,THROTTLE _Std Dev,abs glat_Max,abs glat_Avg,abs glat_Start,abs glat_End,abs glat_Std Dev,abs glong_Min,abs glong_Max,abs glong_Avg,abs glong_Start,abs glong_End,abs glong_Std Dev,abs Steerangle_Min,abs Steerangle_Max,abs Steerangle_Avg,abs Steerangle_Start,abs Steerangle_End,abs Steerangle_Std Dev,lane deviation_Min,lane deviation_Max,lane deviation_Avg,lane deviation_Start,lane deviation_End,lane deviation_Std Dev,steering reversal rate per lap_Min,steering reversal rate per lap_Max,steering reversal rate per lap_Avg,steering reversal rate per lap_Start,steering reversal rate per lap_End,steering reversal rate per lap_Std Dev,steering reversal rate per sector_Min,steering reversal rate per sector_Max,steering reversal rate per sector_Avg,steering reversal rate per sector_Start,steering reversal rate per sector_End,steering reversal rate per sector_Std Dev,understeer_Min,understeer_Max,understeer_Avg,understeer_Start,understeer_End,understeer_Change,understeer_Std Dev,z,outlier,validlap,cluster_label
P079,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 3,126.199,9.16,0.51,0.62,0.57,0.52,0.0,2.41,0.29,0.11,0.02,0.25,-0.0,240.0,48.71,9.83,18.27,72.32,0.0,100.0,7.0,0.0,0.0,20.0,0.0,164.7,103.2,159.6,164.7,35.8,0.0,1.0,0.2,0.0,0.0,0.4,-19.99,16.44,-1.98,-0.39,-1.19,4.8,-145.91,61.8,2.84,8.83,8.64,22.23,0.0,25.48,14.7,7.91,7.14,7.09,0.0,5.38,0.66,0.88,0.17,0.92,0.0,100.0,46.0,23.0,46.0,35.0,0.0,19.99,2.16,0.39,1.19,0.8,4.59,1.6222760517758263,0,1,Slow
P079,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 4,119.832,2.79,0.5,0.57,0.56,0.49,0.0,7.58,0.29,0.02,0.2,0.29,-0.0,240.0,48.99,18.27,18.78,74.46,0.0,100.0,6.0,0.0,0.0,18.0,0.1,180.0,107.9,164.7,162.0,39.0,0.0,1.0,0.19,0.0,0.0,0.39,-18.7,29.66,-1.26,-1.19,-1.17,4.46,-49.57,148.54,3.0,8.64,9.28,22.95,0.0,22.5,11.45,7.14,8.1,6.54,0.0,4.12,0.59,0.17,0.8,0.88,0.0,100.0,46.0,46.0,100.0,38.0,0.0,18.7,1.61,1.19,1.17,-0.02,3.45,1.197583746790322,0,0,Slow
P079,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 5,141.552,2.43,0.49,0.56,0.53,0.49,0.0,15.43,0.29,0.2,0.01,0.39,-0.0,240.0,65.64,18.78,13.6,83.94,0.0,100.0,8.0,0.0,0.0,20.0,0.0,166.0,92.3,162.0,158.2,44.6,0.0,1.0,0.2,0.0,0.0,0.4,-19.88,30.29,-0.88,-1.17,-0.74,4.25,-96.16,176.35,5.07,9.28,9.15,24.14,0.0,28.02,13.67,8.1,6.72,7.92,0.0,4.52,1.04,0.8,0.22,1.39,0.0,100.0,41.0,100.0,38.0,35.0,0.0,19.88,1.34,1.17,0.74,-0.44,2.83,2.6463534757498235,1,0,
P079,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 6,131.557,19.05,0.54,0.53,0.28,0.62,0.0,2.14,0.26,0.01,0.1,0.24,-0.0,240.0,59.33,13.6,7.87,79.5,0.0,100.0,6.0,0.0,0.0,18.0,0.0,177.9,99.3,158.2,157.9,42.4,0.0,1.0,0.21,0.0,0.0,0.41,-17.92,24.86,-1.5,-0.74,-0.5,3.88,-81.7,156.39,5.47,9.15,3.79,21.15,0.0,28.28,15.84,6.72,23.19,8.37,0.0,4.42,0.75,0.22,0.1,1.25,0.0,100.0,45.0,38.0,61.0,35.0,0.0,17.92,1.72,0.74,0.5,-0.23,3.35,1.9796659324279904,0,0,Slow
P078,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 1,122.727,11.34,0.5,0.48,0.63,0.52,0.0,9.0,0.46,0.25,0.25,0.44,-0.0,240.0,38.42,12.78,17.0,47.98,0.0,100.0,12.0,0.0,0.0,24.0,0.0,213.2,105.8,192.2,192.3,50.5,0.0,1.0,0.19,0.0,0.0,0.39,-5.04,15.81,-0.63,-0.87,-1.19,1.96,-87.72,343.55,-0.02,6.77,9.08,21.33,0.0,22.77,13.22,0.0,21.86,6.88,0.0,4.15,0.58,0.0,0.0,0.77,0.0,100.0,56.0,100.0,100.0,42.0,0.0,5.04,0.85,0.87,1.19,0.32,0.98,1.390686341879538,0,0,Slow
P078,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 2,105.522,1.95,0.57,0.63,0.63,0.46,0.0,1.77,0.47,0.25,0.26,0.35,-0.0,175.06,28.52,17.0,14.0,33.53,0.0,100.0,13.0,0.0,0.0,27.0,47.9,212.1,122.2,192.3,192.9,38.3,0.0,1.0,0.22,0.0,0.0,0.41,-7.46,3.3,-1.13,-1.19,-0.96,1.44,-55.68,52.72,3.43,9.08,7.71,16.9,0.0,22.73,12.52,21.86,14.55,6.65,0.0,4.4,0.44,0.0,0.0,0.76,0.0,100.0,59.0,100.0,100.0,43.0,0.0,7.46,1.16,1.19,0.96,-0.23,1.4,0.2430766187327507,0,1,Slow
P078,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 3,127.142,30.21,0.53,0.63,0.63,0.8,0.0,50.91,0.49,0.26,0.28,1.19,-0.0,240.0,45.41,14.0,15.17,56.73,0.0,100.0,12.0,0.0,0.0,25.0,0.0,208.5,103.2,192.9,192.8,53.6,0.0,1.0,0.23,0.0,0.0,0.42,-8.99,49.6,-0.8,-0.96,-1.0,3.04,-59.67,152.24,2.82,7.71,7.53,20.59,0.0,29.17,14.55,14.55,3.5,8.36,0.0,4.23,0.75,0.0,0.0,1.04,0.0,100.0,56.0,100.0,100.0,42.0,0.0,8.99,1.11,0.96,1.0,0.04,1.66,1.685176137153764,0,1,Slow
P078,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 4,131.792,1.92,0.54,0.63,0.5,0.49,0.0,13.5,0.43,0.28,0.26,0.4,-0.0,240.0,42.27,15.17,10.59,53.5,0.0,100.0,11.0,0.0,0.0,24.0,0.0,211.5,100.6,192.8,193.2,50.5,0.0,1.0,0.24,0.0,0.0,0.43,-8.54,16.44,-0.83,-1.0,-0.71,2.35,-45.07,85.91,5.42,7.53,5.6,19.86,0.0,31.9,15.86,3.5,19.14,8.66,0.0,4.1,0.81,0.0,0.0,0.95,0.0,100.0,54.0,100.0,100.0,41.0,0.0,8.54,1.13,1.0,0.71,-0.3,1.59,1.9953409271934368,0,0,Slow
P078,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 5,100.992,2.06,0.62,0.5,0.7,0.48,0.0,1.87,0.47,0.26,0.25,0.35,-0.0,158.27,26.75,10.59,18.81,30.05,0.0,100.0,12.0,0.0,0.0,26.0,58.6,213.0,127.3,193.2,193.5,37.4,0.0,1.0,0.19,0.0,0.0,0.4,-7.15,2.75,-1.12,-0.71,-1.27,1.27,-42.82,48.73,3.56,5.6,9.42,16.98,0.0,19.6,9.97,19.14,1.57,5.7,0.0,4.28,0.35,0.0,0.0,0.65,0.0,100.0,57.0,100.0,100.0,44.0,0.0,7.15,1.16,0.71,1.27,0.56,1.23,-0.0590839186607365,0,0,Fast
P078,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 6,101.167,2.23,0.65,0.7,0.65,0.53,0.0,3.01,0.47,0.25,0.26,0.35,-0.0,140.63,28.54,18.81,16.32,30.3,0.0,100.0,13.0,0.0,0.0,27.0,46.7,220.1,128.1,193.5,192.3,39.3,0.0,1.0,0.25,0.0,0.0,0.43,-7.89,3.08,-1.3,-1.27,-1.1,1.53,-47.87,46.87,3.55,9.42,8.39,17.01,0.0,25.2,12.65,1.57,1.51,7.41,0.0,4.22,0.62,0.0,0.15,0.76,0.0,100.0,62.0,100.0,100.0,43.0,0.0,7.89,1.33,1.27,1.1,-0.16,1.49,-0.0474110502183835,0,0,Fast
P077,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 1,98.537,2.53,0.64,0.24,0.34,0.51,0.0,2.42,0.46,0.26,0.27,0.29,-0.0,175.94,28.29,8.14,10.85,35.14,0.0,78.0,12.0,0.0,0.0,20.0,54.0,210.2,129.8,191.6,189.8,38.8,0.0,1.0,0.22,0.0,0.0,0.42,-8.43,18.27,-0.72,-0.56,-0.77,2.59,-102.71,68.55,3.62,3.65,4.67,18.61,0.0,22.0,10.37,17.73,16.28,6.45,0.0,4.25,0.5,0.0,0.2,0.9,0.0,100.0,58.0,100.0,100.0,43.0,0.0,8.43,1.08,0.56,0.77,0.2,1.38,-0.2228375873806064,0,0,Fast
